,Zip Code,Counts_of_Rodent_Complain
0,00083,11
1,10000,1
2,10001,121
3,10002,332
4,10003,223
5,10004,11
6,10005,10
7,10006,8
8,10007,22
9,10009,230
10,10010,149
11,10011,215
12,10012,118
13,10013,158
14,10014,289
15,10016,159
16,10017,34
17,10018,86
18,10019,138
19,10020,9
20,10021,129
21,10022,80
22,10023,158
23,10024,283
24,10025,534
25,10026,370
26,10027,274
27,10028,238
28,10029,482
29,10030,209
30,10031,388
31,10032,268
32,10033,210
33,10034,279
34,10035,267
35,10036,127
36,10037,68
37,10038,72
38,10039,55
39,10040,207
40,10044,4
41,10065,136
42,10069,6
43,10075,38
44,10115,1
45,10121,1
46,10128,346
47,10174,1
48,10271,1
49,10280,1
50,10282,7
51,10301,136
52,10302,115
53,10303,129
54,10304,147
55,10305,127
56,10306,233
57,10307,43
58,10308,94
59,10309,58
60,10310,132
61,10312,117
62,10314,306
63,10451,441
64,10452,351
65,10453,383
66,10454,192
67,10455,246
68,10456,435
69,10457,468
70,10458,362
71,10459,269
72,10460,267
73,10461,204
74,10462,331
75,10463,258
76,10464,50
77,10465,132
78,10466,230
79,10467,548
80,10468,391
81,10469,233
82,10470,66
83,10471,53
84,10472,274
85,10473,152
86,10474,126
87,10475,13
88,11001,7
89,11004,17
90,11040,2
91,11101,137
92,11102,54
93,11103,244
94,11104,62
95,11105,73
96,11106,73
97,11201,157
98,11202,1
99,11203,378
100,11204,153
101,11205,289
102,11206,399
103,11207,490
104,11208,338
105,11209,106
106,11210,278
107,11211,387
108,11212,351
109,11213,442
110,11214,176
111,11215,364
112,11216,695
113,11217,299
114,11218,143
115,11219,160
116,11220,115
117,11221,878
118,11222,182
119,11223,126
120,11224,83
121,11225,232
122,11226,566
123,11228,64
124,11229,92
125,11230,118
126,11231,133
127,11232,67
128,11233,506
129,11234,192
130,11235,253
131,11236,205
132,11237,266
133,11238,620
134,11239,2
135,11249,127
136,11354,79
137,11355,109
138,11356,39
139,11357,99
140,11358,36
141,11360,16
142,11361,68
143,11362,12
144,11363,5
145,11364,32
146,11365,38
147,11366,12
148,11367,38
149,11368,193
150,11369,63
151,11370,71
152,11372,200
153,11373,151
154,11374,89
155,11375,81
156,11377,237
157,11378,118
158,11379,83
159,11385,434
160,11411,61
161,11412,149
162,11413,80
163,11414,88
164,11415,31
165,11416,87
166,11417,90
167,11418,96
168,11419,115
169,11420,121
170,11421,76
171,11422,72
172,11423,63
173,11426,32
174,11427,38
175,11428,27
176,11429,64
177,11430,4
178,11432,159
179,11433,171
180,11434,169
181,11435,172
182,11436,74
183,11691,125
184,11692,37
185,11693,37
186,11694,57
