,zip_code,total_impact_days
0,00000,41
1,10000,878
2,10001,1523425
3,10002,828948
4,10003,1336062
5,10004,359370
6,10005,231874
7,10006,186414
8,10007,419919
9,10009,620925
10,10010,956248
11,10011,1649575
12,10012,1058473
13,10013,1688130
14,10014,1037600
15,10016,1408161
16,10017,1033301
17,10018,748754
18,10019,1596162
19,10020,105343
20,10021,965458
21,10022,1619785
22,10023,1267487
23,10024,1038636
24,10025,1091901
25,10026,335507
26,10027,799084
27,10028,735867
28,10029,620449
29,10030,225987
30,10031,434264
31,10032,461933
32,10033,307983
33,10034,184321
34,10035,373594
35,10036,1231135
36,10037,105156
37,10038,562938
38,10039,131205
39,10040,145776
40,10041,44581
41,10044,49547
42,10048,226
43,10055,18957
44,10065,1147912
45,10069,40782
46,10075,495888
47,10103,26049
48,10105,25385
49,10106,21156
50,10107,19532
51,10110,15434
52,10112,53148
53,10115,8781
54,10118,78155
55,10119,63103
56,10120,5204
57,10121,9760
58,10122,17777
59,10123,4529
60,10128,830119
61,10151,9107
62,10155,19041
63,10158,14166
64,10162,926
65,10167,18697
66,10168,16025
67,10169,21576
68,10170,25492
69,10171,22156
70,10172,8631
71,10173,6862
72,10174,12724
73,10175,12661
74,10176,5831
75,10177,8310
76,10178,7730
77,10271,19476
78,10278,155
79,10280,119736
80,10281,116156
81,10282,71694
82,10301,282002
83,10302,144437
84,10303,158941
85,10304,296934
86,10305,272417
87,10306,395978
88,10307,174604
89,10308,108769
90,10309,363026
91,10310,127300
92,10312,389980
93,10314,530377
94,10451,325477
95,10452,234344
96,10453,298575
97,10454,262804
98,10455,234675
99,10456,345926
100,10457,374128
101,10458,329023
102,10459,154100
103,10460,256863
104,10461,246990
105,10462,279919
106,10463,346896
107,10464,41339
108,10465,181903
109,10466,196401
110,10467,391958
111,10468,325404
112,10469,206111
113,10470,54517
114,10471,191097
115,10472,224148
116,10473,252860
117,10474,110249
118,10475,156584
119,11001,33064
120,11004,124683
121,11005,1995
122,11040,30885
123,11101,1099551
124,11102,318487
125,11103,327204
126,11104,118039
127,11105,292763
128,11106,312344
129,11109,19015
130,11201,1501106
131,11203,207548
132,11204,451804
133,11205,657325
134,11206,868996
135,11207,557497
136,11208,394714
137,11209,394957
138,11210,338328
139,11211,887710
140,11212,276219
141,11213,410901
142,11214,401494
143,11215,960440
144,11216,669342
145,11217,778311
146,11218,465792
147,11219,601635
148,11220,695241
149,11221,998102
150,11222,724723
151,11223,426129
152,11224,308427
153,11225,343867
154,11226,436674
155,11228,232935
156,11229,436345
157,11230,534476
158,11231,684675
159,11232,281897
160,11233,576699
161,11234,362461
162,11235,641474
163,11236,239925
164,11237,456659
165,11238,885145
166,11239,174426
167,11249,550945
168,11354,646306
169,11355,517987
170,11356,159332
171,11357,413001
172,11358,283731
173,11359,1511
174,11360,113258
175,11361,288567
176,11362,188285
177,11363,101641
178,11364,241601
179,11365,313742
180,11366,167643
181,11367,253235
182,11368,556242
183,11369,141061
184,11370,119934
185,11372,309052
186,11373,434222
187,11374,231340
188,11375,378508
189,11377,365206
190,11378,235963
191,11379,158268
192,11385,519028
193,11411,73388
194,11412,112009
195,11413,139751
196,11414,182219
197,11415,94810
198,11416,106949
199,11417,133368
200,11418,168714
201,11419,179744
202,11420,193387
203,11421,100749
204,11422,80824
205,11423,179956
206,11426,98286
207,11427,102098
208,11428,56033
209,11429,80819
210,11430,9278
211,11432,476857
212,11433,137384
213,11434,236148
214,11435,292255
215,11436,81428
216,11691,457765
217,11692,250575
218,11693,121521
219,11694,256605
220,11695,471
221,11697,348900
